DATE,MAX_TEMPERATURE_C
20022015,19
21022015,16
22022015,16
23022015,20
24022015,16
25022015,17
26022015,20
27022015,19
28022015,21
01032015,22
02032015,23
03032015,24
04032015,22
05032015,25
06032015,27
07032015,27
08032015,23
09032015,25
10032015,25
11032015,25
12032015,25
13032015,21
14032015,23
15032015,22
16032015,22
17032015,19
18032015,21
19032015,22
20032015,22
21032015,19
22032015,18
23032015,18
24032015,14
25032015,16
26032015,18
27032015,21
28032015,23
29032015,25
30032015,25
31032015,26
01042015,29
02042015,30
03042015,31
04042015,30
05042015,20
06042015,23
07042015,23
08042015,23
09042015,23
10042015,23
11042015,23
12042015,25
13042015,27
14042015,25
15042015,24
16042015,24
17042015,23
18042015,23
19042015,22
20042015,24
21042015,23
22042015,22
23042015,24
24042015,25
25042015,25
26042015,23
27042015,23
28042015,22
29042015,24
30042015,25
01052015,28
02052015,31
03052015,29
